评论,地区,日期,点赞,情绪
早早早，总有美好在路上[打call],江苏 ,Wed May 28 08:37:16 +0800 2025,210,happiness
@卡布叻_周深 总有美好在路上[心]月季花海太美啦[心],其他,Wed May 28 08:39:55 +0800 2025,180,happiness
总有美好在路上@卡布叻_周深,海外,Wed May 28 08:33:17 +0800 2025,168,happiness
好美啊！总有美好在路上！[哇],海外,Wed May 28 08:41:04 +0800 2025,154,like
总有美好在路上[心],四川,Wed May 28 08:34:29 +0800 2025,127,happiness
早安，轻轻的问候，深深的祝福[心]总有美好在路上[心],海外 ,Wed May 28 08:42:08 +0800 2025,111,happiness
好美！总有美好在路上！,广东 ,Wed May 28 08:41:30 +0800 2025,87,like
#被北京处处可见的月季花海惊艳了#  #有一种浪漫叫北京月季花开# 好美[心][心],北京,Wed May 28 08:34:13 +0800 2025,84,happiness
早上好，总有美好在路上,浙江,Wed May 28 08:44:57 +0800 2025,72,happiness
一朵花读懂一座城市,其他,Wed May 28 08:37:35 +0800 2025,62,like
总有美好在路上[good],其他,Wed May 28 08:40:28 +0800 2025,44,happiness
总有美好在路上[送花花],湖北,Wed May 28 08:34:42 +0800 2025,38,happiness
生活不论好坏，每天都是限量版，永远乐观自信，永远积极向上，别让世俗，淹没了生活的浪漫和热情。努力经营好自己的尊严和美好。,重庆,Wed May 28 08:34:49 +0800 2025,38,like
#被北京处处可见的月季花海惊艳了# #有一种浪漫叫北京月季花开# 花团锦簇，姹紫嫣红,其他,Wed May 28 08:40:19 +0800 2025,24,happiness
总有美好在路上[心],上海,Wed May 28 08:46:22 +0800 2025,25,happiness
一朵花读懂一座城，总有美好在路上@卡布叻_周深,辽宁 ,Wed May 28 08:48:47 +0800 2025,22,like
早安[心],广东 ,Wed May 28 08:33:32 +0800 2025,17,happiness
总有美好在路上！太美了！[鲜花][鲜花][鲜花],广东,Wed May 28 08:45:14 +0800 2025,17,happiness
#周深[超话]#好美@卡布叻_周深 歌真好听,北京 ,Wed May 28 08:44:54 +0800 2025,16,happiness
好美的總有美好在路上！！[比耶][比耶],其他,Wed May 28 09:02:19 +0800 2025,14,happiness
好美呀[送花花][送花花][送花花],广东 ,Wed May 28 08:44:46 +0800 2025,12,happiness
早上好，总有美好在路上[抱一抱],甘肃 ,Wed May 28 08:44:40 +0800 2025,10,happiness
好漂亮[哇]，北京這座古都傳統與現代交織的獨特韻致，在花團錦簇中愈發令人沉醉。,台湾,Wed May 28 08:37:51 +0800 2025,11,like
最美的风景在路上,上海 ,Wed May 28 08:38:20 +0800 2025,7,like
好美啊！,天津,Wed May 28 09:05:03 +0800 2025,6,like
